,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
0,10866099999,2020-01-01,48.353783,11.786086,453.23,"MUNCHEN, GM",32.8,24,30.1,24,9999.9,0,999.9,0,4.9,24,3.4,24,7.0,999.9,39.2,*,23.0,*,0.0,I,999.9,0
1,10866099999,2020-01-02,48.353783,11.786086,453.23,"MUNCHEN, GM",26.5,24,25.7,24,9999.9,0,999.9,0,0.6,24,2.5,24,5.1,999.9,28.4,*,23.0,*,0.0,I,999.9,100000
2,10866099999,2020-01-03,48.353783,11.786086,453.23,"MUNCHEN, GM",34.1,24,30.9,24,9999.9,0,999.9,0,4.5,24,5.5,24,17.1,999.9,44.6,*,24.8,*,99.99, ,999.9,110000
3,10866099999,2020-01-04,48.353783,11.786086,453.23,"MUNCHEN, GM",39.7,24,34.8,24,9999.9,0,999.9,0,6.0,24,13.4,24,18.1,28.0,44.6,*,37.4,*,99.99, ,999.9,10000
4,10866099999,2020-01-05,48.353783,11.786086,453.23,"MUNCHEN, GM",36.2,24,32.9,24,9999.9,0,999.9,0,6.2,24,5.9,24,14.0,999.9,39.2,*,28.4,*,99.99, ,999.9,10000
5,10866099999,2020-01-06,48.353783,11.786086,453.23,"MUNCHEN, GM",29.4,24,27.1,24,9999.9,0,999.9,0,3.9,24,2.9,24,6.0,999.9,39.2,*,23.0,*,0.0,I,999.9,100000
6,10866099999,2020-01-07,48.353783,11.786086,453.23,"MUNCHEN, GM",31.9,24,30.3,24,9999.9,0,999.9,0,5.5,24,3.1,24,8.0,999.9,39.2,*,21.2,*,99.99, ,999.9,11000
7,10866099999,2020-01-08,48.353783,11.786086,453.23,"MUNCHEN, GM",33.4,24,30.9,24,9999.9,0,999.9,0,5.1,24,2.3,24,5.1,999.9,39.2,*,24.8,*,99.99, ,999.9,110000
8,10866099999,2020-01-09,48.353783,11.786086,453.23,"MUNCHEN, GM",42.0,24,33.3,24,9999.9,0,999.9,0,6.2,24,2.2,24,5.1,999.9,57.2,*,32.0,*,0.0,I,999.9,0
9,10866099999,2020-01-10,48.353783,11.786086,453.23,"MUNCHEN, GM",41.8,24,33.5,24,9999.9,0,999.9,0,6.2,24,8.2,24,15.9,999.9,51.8,*,26.6,*,99.99, ,999.9,10000
10,10866099999,2020-01-11,48.353783,11.786086,453.23,"MUNCHEN, GM",36.5,23,32.5,23,9999.9,0,999.9,0,5.9,23,3.9,23,8.9,999.9,42.8,*,24.8,*,99.99, ,999.9,10000
11,10866099999,2020-01-12,48.353783,11.786086,453.23,"MUNCHEN, GM",28.0,24,26.5,24,9999.9,0,999.9,0,3.6,24,2.5,24,8.9,999.9,37.4,*,21.2,*,0.0,I,999.9,100000
12,10866099999,2020-01-13,48.353783,11.786086,453.23,"MUNCHEN, GM",34.3,23,29.5,23,9999.9,0,999.9,0,6.2,23,2.6,23,5.1,999.9,41.0,*,26.6,*,0.0,I,999.9,0
13,10866099999,2020-01-14,48.353783,11.786086,453.23,"MUNCHEN, GM",32.6,24,27.7,24,9999.9,0,999.9,0,6.2,24,3.0,24,7.0,999.9,44.6,*,24.8,*,0.0,I,999.9,0
14,10866099999,2020-01-15,48.353783,11.786086,453.23,"MUNCHEN, GM",33.1,24,28.7,24,9999.9,0,999.9,0,6.2,24,2.6,24,5.1,999.9,44.6,*,26.6,*,0.0,I,999.9,0
15,10866099999,2020-01-16,48.353783,11.786086,453.23,"MUNCHEN, GM",36.2,24,32.3,24,9999.9,0,999.9,0,6.1,24,2.8,24,7.0,999.9,50.0,*,28.4,*,99.99, ,999.9,10000
16,10866099999,2020-01-17,48.353783,11.786086,453.23,"MUNCHEN, GM",37.2,24,31.6,24,9999.9,0,999.9,0,6.0,24,3.3,24,8.9,999.9,51.8,*,23.0,*,99.99, ,999.9,10000
17,10866099999,2020-01-18,48.353783,11.786086,453.23,"MUNCHEN, GM",38.0,24,35.5,24,9999.9,0,999.9,0,6.0,24,7.0,24,11.1,20.0,41.0,*,33.8,*,99.99, ,999.9,11000
18,10866099999,2020-01-19,48.353783,11.786086,453.23,"MUNCHEN, GM",33.5,24,30.1,24,9999.9,0,999.9,0,6.2,24,4.7,24,7.0,999.9,37.4,*,30.2,*,99.99, ,999.9,1000
19,10866099999,2020-01-20,48.353783,11.786086,453.23,"MUNCHEN, GM",32.7,24,29.6,24,9999.9,0,999.9,0,5.0,24,4.8,24,9.9,999.9,37.4,*,30.2,*,99.99, ,999.9,1000
20,10866099999,2020-01-21,48.353783,11.786086,453.23,"MUNCHEN, GM",29.4,24,25.8,24,9999.9,0,999.9,0,5.6,24,5.1,24,8.9,999.9,32.0,*,26.6,*,99.99, ,999.9,1000
21,10866099999,2020-01-22,48.353783,11.786086,453.23,"MUNCHEN, GM",26.9,24,24.7,24,9999.9,0,999.9,0,2.3,24,2.6,24,5.1,999.9,28.4,*,24.8,*,99.99, ,999.9,1000
22,10866099999,2020-01-23,48.353783,11.786086,453.23,"MUNCHEN, GM",27.7,24,25.8,24,9999.9,0,999.9,0,3.1,24,5.2,24,11.1,999.9,32.0,*,21.2,*,0.0,I,999.9,100000
23,10866099999,2020-01-24,48.353783,11.786086,453.23,"MUNCHEN, GM",30.6,24,27.4,24,9999.9,0,999.9,0,4.7,24,3.9,24,8.0,999.9,41.0,*,24.8,*,0.0,I,999.9,0
24,10866099999,2020-01-25,48.353783,11.786086,453.23,"MUNCHEN, GM",32.8,24,30.0,24,9999.9,0,999.9,0,5.0,24,2.4,24,5.1,999.9,44.6,*,24.8,*,0.0,I,999.9,0
25,10866099999,2020-01-26,48.353783,11.786086,453.23,"MUNCHEN, GM",35.4,24,32.5,24,9999.9,0,999.9,0,4.9,24,1.6,24,4.1,999.9,44.6,*,30.2,*,0.0,I,999.9,0
26,10866099999,2020-01-27,48.353783,11.786086,453.23,"MUNCHEN, GM",40.5,24,35.3,24,9999.9,0,999.9,0,6.2,24,4.0,24,11.1,999.9,51.8,*,30.2,*,99.99, ,999.9,10000
27,10866099999,2020-01-28,48.353783,11.786086,453.23,"MUNCHEN, GM",38.8,24,33.7,24,9999.9,0,999.9,0,5.9,24,13.1,24,29.9,44.1,44.6,*,33.8,*,99.99, ,999.9,11000
28,10866099999,2020-01-29,48.353783,11.786086,453.23,"MUNCHEN, GM",36.5,24,31.3,24,9999.9,0,999.9,0,5.9,24,12.6,24,24.1,33.0,39.2,*,33.8,*,99.99, ,999.9,11000
29,10866099999,2020-01-30,48.353783,11.786086,453.23,"MUNCHEN, GM",41.7,24,33.9,24,9999.9,0,999.9,0,6.0,24,8.2,24,15.0,999.9,48.2,*,35.6,*,99.99, ,999.9,10000
30,10866099999,2020-01-31,48.353783,11.786086,453.23,"MUNCHEN, GM",51.7,24,45.2,24,9999.9,0,999.9,0,6.2,24,16.5,24,26.0,35.9,57.2,*,42.8,*,99.99, ,999.9,10000
31,10866099999,2020-02-01,48.353783,11.786086,453.23,"MUNCHEN, GM",49.2,24,43.0,24,9999.9,0,999.9,0,6.2,24,10.8,24,22.9,32.1,60.8,*,37.4,*,99.99, ,999.9,10000
32,10866099999,2020-02-02,48.353783,11.786086,453.23,"MUNCHEN, GM",50.0,24,45.7,24,9999.9,0,999.9,0,6.2,24,15.2,24,25.1,29.9,55.4,*,44.6,*,99.99, ,999.9,10000
33,10866099999,2020-02-03,48.353783,11.786086,453.23,"MUNCHEN, GM",44.1,24,41.8,24,9999.9,0,999.9,0,6.2,24,10.7,24,18.1,999.9,46.4,*,42.8,*,99.99, ,999.9,10000
34,10866099999,2020-02-04,48.353783,11.786086,453.23,"MUNCHEN, GM",40.5,24,34.4,24,9999.9,0,999.9,0,5.6,24,16.3,24,33.0,49.0,55.4,*,33.8,*,99.99, ,999.9,11000
35,10866099999,2020-02-05,48.353783,11.786086,453.23,"MUNCHEN, GM",34.9,24,26.6,24,9999.9,0,999.9,0,6.2,24,10.8,24,17.1,27.0,37.4,*,28.4,*,99.99, ,999.9,1000
36,10866099999,2020-02-06,48.353783,11.786086,453.23,"MUNCHEN, GM",31.3,24,23.4,24,9999.9,0,999.9,0,6.2,24,4.4,24,8.9,999.9,42.8,*,24.8,*,0.0,I,999.9,0
37,10866099999,2020-02-07,48.353783,11.786086,453.23,"MUNCHEN, GM",30.2,24,25.7,24,9999.9,0,999.9,0,5.8,24,4.0,24,8.9,999.9,39.2,*,21.2,*,0.0,I,999.9,0
38,10866099999,2020-02-08,48.353783,11.786086,453.23,"MUNCHEN, GM",32.7,24,27.1,24,9999.9,0,999.9,0,6.0,24,1.8,24,4.1,999.9,48.2,*,21.2,*,0.0,I,999.9,0
39,10866099999,2020-02-09,48.353783,11.786086,453.23,"MUNCHEN, GM",39.3,24,28.0,24,9999.9,0,999.9,0,6.2,24,5.0,24,14.0,999.9,55.4,*,23.0,*,0.0,I,999.9,0
40,10866099999,2020-02-10,48.353783,11.786086,453.23,"MUNCHEN, GM",49.4,24,34.8,24,9999.9,0,999.9,0,5.9,24,22.7,24,46.0,58.1,59.0,*,42.8,*,99.99, ,999.9,10000
41,10866099999,2020-02-11,48.353783,11.786086,453.23,"MUNCHEN, GM",39.3,24,32.5,24,9999.9,0,999.9,0,6.1,24,19.3,24,34.0,53.0,46.4,*,35.6,*,99.99, ,999.9,11000
42,10866099999,2020-02-12,48.353783,11.786086,453.23,"MUNCHEN, GM",37.4,24,29.3,24,9999.9,0,999.9,0,6.2,24,15.8,24,22.9,24.1,41.0,*,33.8,*,99.99, ,999.9,10000
43,10866099999,2020-02-13,48.353783,11.786086,453.23,"MUNCHEN, GM",39.1,24,31.2,24,9999.9,0,999.9,0,6.2,24,8.4,24,27.0,39.0,46.4,*,28.4,*,99.99, ,999.9,10000
44,10866099999,2020-02-14,48.353783,11.786086,453.23,"MUNCHEN, GM",42.3,24,35.5,24,9999.9,0,999.9,0,6.2,24,13.4,24,25.1,35.9,44.6,*,39.2,*,99.99, ,999.9,10000
45,10866099999,2020-02-15,48.353783,11.786086,453.23,"MUNCHEN, GM",38.3,24,33.7,24,9999.9,0,999.9,0,6.2,24,2.9,24,7.0,999.9,50.0,*,30.2,*,0.0,I,999.9,0
46,10866099999,2020-02-16,48.353783,11.786086,453.23,"MUNCHEN, GM",43.6,24,33.2,24,9999.9,0,999.9,0,6.2,24,3.3,24,11.1,999.9,60.8,*,30.2,*,0.0,I,999.9,0
47,10866099999,2020-02-17,48.353783,11.786086,453.23,"MUNCHEN, GM",49.3,24,39.9,24,9999.9,0,999.9,0,6.2,24,6.8,24,19.0,999.9,55.4,*,41.0,*,99.99, ,999.9,10000
48,10866099999,2020-02-18,48.353783,11.786086,453.23,"MUNCHEN, GM",42.4,24,31.5,24,9999.9,0,999.9,0,6.2,24,13.3,24,20.0,28.9,48.2,*,37.4,*,99.99, ,999.9,10000
49,10866099999,2020-02-19,48.353783,11.786086,453.23,"MUNCHEN, GM",39.8,24,30.1,24,9999.9,0,999.9,0,6.2,24,13.7,24,31.1,41.0,44.6,*,33.8,*,99.99, ,999.9,11000
50,10866099999,2020-02-20,48.353783,11.786086,453.23,"MUNCHEN, GM",39.0,24,31.1,24,9999.9,0,999.9,0,6.2,24,5.4,24,11.1,999.9,50.0,*,30.2,*,99.99, ,999.9,10000
51,10866099999,2020-02-21,48.353783,11.786086,453.23,"MUNCHEN, GM",41.6,24,29.3,24,9999.9,0,999.9,0,6.2,24,11.8,24,26.0,40.0,46.4,*,37.4,*,99.99, ,999.9,10000
52,10866099999,2020-02-22,48.353783,11.786086,453.23,"MUNCHEN, GM",47.1,24,28.6,24,9999.9,0,999.9,0,6.2,24,10.2,24,20.0,25.1,60.8,*,33.8,*,99.99, ,999.9,10000
